Date	Ticker	Open	High	Low	Close	Volume
1994-06-24	9928	4.81	4.81	4.80	4.80	13030
1994-06-24	9929	13.80	13.80	13.50	13.70	13284
1994-06-24	9930	51.00	51.00	50.50	50.50	80100
1994-06-24	9931	32.05	32.05	32.05	32.05	5000
1994-06-24	9933	44.55	44.55	44.35	44.40	388362
1994-06-24	9934	15.65	15.65	15.50	15.50	170150
1994-06-24	9935	17.35	18.65	17.30	18.60	3216924
1994-06-24	9937	40.75	41.30	40.75	41.20	1584002
1994-06-24	9938	49.90	50.00	49.30	49.50	748451
1994-06-24	9939	47.20	47.30	47.00	47.15	248160
1994-06-24	9940	29.80	29.90	29.70	29.80	66161
1994-06-24	9941	92.80	93.60	92.20	93.50	315259
1994-06-24	9941A	51.20	51.20	51.20	51.20	42966
1994-06-24	9942	67.20	69.00	67.20	67.70	137220
1994-06-24	9943	57.80	58.00	57.80	57.90	50534
1994-06-24	9944	16.35	16.35	16.30	16.30	18000
1994-06-24	9945	46.90	46.95	46.65	46.90	964112
1994-06-24	9946	12.60	12.60	12.40	12.60	25000
1994-06-24	9955	12.75	12.90	12.70	12.85	22000
1994-06-24	9958	62.90	63.60	60.90	61.00	3140002
