Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,VWStrikeCall,MaxOIStrikePut,MaxOIPut,TotalOIPut,VWStrikePut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-08-09,發行量加權股價指數,17526.28,17526.28,17350.15,17485.15,C < O,C < O,Earned,202108,17800.0,16536.0,122468.0,18103.093052879118,16000.0,15154.0,109160.0,16577.304873580066,0.0,4936.0,-626.0,0.12,0.04999999999999999,1.0,-0.02,0.09
2021-08-10,發行量加權股價指數,17485.15,17524.91,17305.06,17323.64,,,,202108,17700.0,17594.0,128744.0,18038.532281116015,16800.0,16040.0,111246.0,16529.432069467668,0.0,6276.0,2086.0,0.16,0.04000000000000001,,-0.02,0.03
2021-08-11,發行量加權股價指數,17323.64,17327.2,17090.25,17227.18,C > O,C < O,,202108,17500.0,22640.0,151554.0,17859.19342280639,16800.0,21270.0,139028.0,16531.95039848088,0.0,22810.0,27782.0,0.09,-0.07,0.0,-0.02,0.03
2021-08-12,發行量加權股價指數,17227.18,17233.11,17139.21,17219.94,C < O,C < O,Earned,202108,17500.0,29804.0,185982.0,17608.933122560247,16800.0,23012.0,163946.0,16627.515157429887,0.0,34428.0,24918.0,0.13,0.04000000000000001,1.0,-0.02,0.02
2021-08-13,發行量加權股價指數,17219.94,17219.94,16978.11,16982.11,C > O,C < O,,202108,17500.0,32714.0,212236.0,17496.125068320172,16500.0,23924.0,177030.0,16627.011241032593,0.0,26254.0,13084.0,0.2,0.07,0.0,-0.03,0.03
2021-08-16,發行量加權股價指數,16982.11,16983.59,16773.57,16858.77,C > O,C < O,,202108,17500.0,31040.0,242996.0,17334.57711238045,16500.0,28870.0,190584.0,16409.10884439407,0.0,30760.0,13554.0,0.28,0.08000000000000002,0.0,-0.04,0.02
2021-08-17,發行量加權股價指數,16858.77,16870.55,16657.63,16661.36,C > O,C < O,,202108,17500.0,27764.0,220678.0,17238.214955727348,16500.0,26788.0,182414.0,16380.661572028463,0.0,-22318.0,-8170.0,0.21,-0.07000000000000003,0.0,-0.05,0.01
2021-08-18,發行量加權股價指數,16661.36,16826.27,16418.54,16826.27,,,,202109,21200.0,8386.0,58996.0,17889.321309919316,15000.0,12558.0,61252.0,14895.164239535035,0.0,-161682.0,-121162.0,-0.04,-0.25,,-0.21,0.12
2021-08-19,發行量加權股價指數,16826.27,16826.27,16375.4,16375.4,,,,202109,16700.0,11756.0,88114.0,17585.84333931044,15000.0,13996.0,79998.0,14386.919672991824,0.0,29118.0,18746.0,0.1,0.14,,-0.02,0.09
2021-08-20,發行量加權股價指數,16375.4,16507.11,16248.08,16341.94,C > O,C < O,Earned,202109,17300.0,13110.0,100752.0,17468.98721613467,15000.0,14014.0,84156.0,14229.521365083892,0.0,12638.0,4158.0,0.2,0.1,0.0,-0.06,0.09
2021-08-23,發行量加權股價指數,16341.94,16785.29,16341.94,16741.84,C > O,C > O,Earned,202109,17300.0,13320.0,102062.0,17586.698281436773,15000.0,16010.0,92674.0,14236.25396551352,0.0,1310.0,8518.0,0.1,-0.1,1.0,-0.03,0.12
2021-08-24,發行量加權股價指數,16741.84,16904.3,16741.84,16818.73,C < O,C > O,,202109,17300.0,13872.0,104742.0,17587.149376563364,15000.0,16580.0,99364.0,14272.120687572964,0.0,2680.0,6690.0,0.05,-0.05,0.0,-0.03,0.12
2021-08-25,發行量加權股價指數,16818.73,17045.86,16818.73,17045.86,C < O,C > O,,202109,17000.0,14718.0,109264.0,17583.621320837603,15000.0,16552.0,107606.0,14545.408248610673,0.0,4522.0,8242.0,0.02,-0.030000000000000002,0.0,0.0,0.14
2021-08-26,發行量加權股價指數,17045.86,17201.42,16984.69,17066.96,C < O,C > O,Earned,202109,18000.0,14988.0,112250.0,17624.36881959911,15000.0,16708.0,108754.0,14685.690641263769,0.0,2986.0,1148.0,0.03,0.009999999999999998,0.0,-0.05,0.14
2021-08-27,發行量加權股價指數,17066.96,17229.89,17000.26,17209.93,C > O,C > O,Earned,202109,17000.0,13734.0,104520.0,17636.169154228857,15000.0,16202.0,110624.0,14676.061252531097,0.0,-7730.0,1870.0,-0.06,-0.09,1.0,0.01,0.15
2021-08-30,發行量加權股價指數,17209.93,17396.52,17209.93,17396.52,,,,202109,17400.0,15696.0,110120.0,17625.481293134762,15000.0,16084.0,120076.0,14851.585662413805,0.0,5600.0,9452.0,-0.08,-0.020000000000000004,,-0.0,0.16
2021-08-31,發行量加權股價指數,17396.52,17490.29,17207.57,17490.29,C < O,C > O,Earned,202109,17400.0,15788.0,111496.0,17665.008610174355,11200.0,16260.0,119362.0,14807.154705852783,0.0,1376.0,-714.0,-0.07,0.009999999999999995,0.0,0.01,0.56
2021-09-01,發行量加權股價指數,17490.29,17503.93,17415.52,17473.99,,,,202109,17400.0,15864.0,114074.0,17689.398109998772,11200.0,16688.0,124278.0,14975.276396465988,0.0,2578.0,4916.0,-0.08,-0.009999999999999995,,0.0,0.56
2021-09-02,發行量加權股價指數,17473.99,17523.16,17319.76,17319.76,C < O,C < O,Earned,202109,18000.0,16216.0,121342.0,17726.607440127904,11200.0,18664.0,132906.0,14993.16208448076,0.0,7268.0,8628.0,-0.09,-0.009999999999999995,1.0,-0.04,0.55
2021-09-03,發行量加權股價指數,17319.76,17540.78,17319.76,17516.92,C < O,C > O,,202109,17400.0,15834.0,118592.0,17739.96896923907,11200.0,19120.0,139178.0,15600.284527727083,0.0,-2750.0,6272.0,-0.15,-0.06,0.0,0.01,0.56
2021-09-06,發行量加權股價指數,17516.92,17633.67,17461.07,17495.3,,,,202109,17400.0,15538.0,120290.0,17786.145149222713,11200.0,19158.0,141796.0,15640.51031058704,0.0,1698.0,2618.0,-0.15,0.0,,0.01,0.56
2021-09-07,發行量加權股價指數,17495.3,17559.21,17388.37,17428.87,C < O,C < O,Earned,202109,18000.0,16876.0,132082.0,17846.389364182854,16000.0,20038.0,155046.0,15703.757594520335,0.0,11792.0,13250.0,-0.15,0.0,1.0,-0.03,0.09
