代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
2383,3472,31978,10,5,15,66.67,0.03724,39.6
2385,8696,-6546,13,14,27,48.15,-0.0007518518518518526,37.370370370370374
2387,4408,-7508,17,15,32,53.12,-0.003181249999999999,40.71875
2388,5262,-3762,19,14,33,57.58,0.01033030303030303,20.09090909090909
2390,2496,3714,17,15,32,53.12,0.015078124999999998,26.5
2392,9254,-11154,16,13,29,55.17,0.0007413793103448273,45.206896551724135
2393,8694,7606,16,12,28,57.14,0.013710714285714288,22.357142857142858
2395,9632,12618,7,5,12,58.33,0.023375000000000003,41.25
2397,4875,-8225,12,9,21,57.14,0.004538095238095239,48.38095238095238
2399,2858,-5978,15,16,31,48.39,-0.003412903225806452,24.129032258064516
2401,4904,-17924,17,18,35,48.57,-0.006568571428571428,32.714285714285715
2402,3913,117,17,14,31,54.84,0.003170967741935483,17.677419354838708
2404,6427,-11527,12,14,26,46.15,-0.017188461538461538,46.65384615384615
2405,3865,-25145,19,23,42,45.24,-0.023314285714285714,20.5
2406,3772,-2652,23,18,41,56.1,0.005721951219512195,17.463414634146343
2408,5281,-30461,12,19,31,38.71,-0.032964516129032256,19.225806451612904
2409,3868,-20888,11,19,30,36.67,-0.03145,32.233333333333334
2412,3024,53176,6,0,6,100.0,0.12054999999999999,544.6666666666666
2413,3224,-4474,20,18,38,52.63,-0.003963157894736845,27.81578947368421
2414,2279,4671,14,9,23,60.87,0.018873913043478262,80.08695652173913
2415,2557,-12947,11,15,26,42.31,-0.02103076923076924,35.69230769230769
2417,4703,17537,18,11,29,62.07,0.025493103448275864,29.275862068965516
2419,1836,2774,13,9,22,59.09,0.0041545454545454516,26.09090909090909
2420,4362,-10032,13,15,28,46.43,-0.0052107142857142855,55.142857142857146
2421,3611,9089,16,10,26,61.54,0.016203846153846152,35.38461538461539
2423,2401,-9551,9,11,20,45.0,-0.02045,62.75
2424,1773,7197,13,6,19,68.42,0.0334578947368421,20.94736842105263
2425,3393,11677,18,15,33,54.55,0.011796969696969696,18.78787878787879
2426,3262,-18612,17,17,34,50.0,-0.011605882352941174,21.294117647058822
2427,2113,2007,20,10,30,66.67,0.016823333333333336,37.166666666666664
2428,5456,-9106,9,11,20,45.0,-0.017135000000000004,43.95
2429,947,-8577,6,7,13,46.15,-0.004692307692307685,7.6923076923076925
2430,4881,-28781,9,15,24,37.5,-0.031049999999999994,61.916666666666664
2431,2278,-5548,15,14,29,51.72,-0.004696551724137928,28.275862068965516
2433,3048,11602,10,5,15,66.67,0.040240000000000005,123.0
2434,2472,-82,14,15,29,48.28,-0.017206896551724138,26.24137931034483
2436,4100,-29400,14,18,32,43.75,-0.028056249999999998,22.53125
2438,1481,-2451,12,11,23,52.17,-0.004569565217391308,26.434782608695652
2439,12512,22838,14,12,26,53.85,0.0064923076923076905,24.653846153846153
2440,2032,-5582,18,15,33,54.55,-0.008775757575757576,27.757575757575758
2441,3550,-12100,8,10,18,44.44,-0.012144444444444446,71.72222222222223
2442,2110,1590,18,13,31,58.06,0.015619354838709677,33.774193548387096
2443,2344,-6274,17,25,42,40.48,-0.03376428571428571,20.11904761904762
2444,2737,8293,15,17,32,46.88,0.017537499999999998,17.96875
2449,2783,-3133,12,10,22,54.55,-0.008222727272727272,24.272727272727273
2450,5846,-26496,11,10,21,52.38,0.006861904761904761,103.0
2451,13423,-6323,16,14,30,53.33,-0.0055866666666666695,51.6
2453,2241,-1261,16,14,30,53.33,-0.0029633333333333326,44.43333333333333
2454,55337,-640337,11,16,27,40.74,-0.035866666666666665,28.925925925925927
2455,6258,-5068,14,13,27,51.85,-0.005107407407407407,17.296296296296298
2457,3864,-17844,18,19,37,48.65,-0.017878378378378385,22.7027027027027
2458,8683,-2083,17,12,29,58.62,0.01647586206896552,30.724137931034484
2459,5905,-7155,16,16,32,50.0,-0.006018749999999999,41.4375
2460,3529,-11789,17,15,32,53.12,-0.010687499999999999,36.84375
2461,3280,-28910,12,19,31,38.71,-0.03767741935483871,32.32258064516129
2462,3287,11813,13,11,24,54.17,0.014474999999999997,52.791666666666664
2464,4244,11856,15,8,23,65.22,0.019095652173913045,44.34782608695652
2465,3116,-16546,19,17,36,52.78,-0.0036694444444444457,23.166666666666668
2466,4708,19442,18,12,30,60.0,0.027076666666666662,81.93333333333334
2467,3120,790,13,11,24,54.17,0.005137499999999995,49.875
2468,1155,-4095,6,10,16,37.5,-0.014799999999999999,31.1875
2471,2285,6735,15,10,25,60.0,0.023208000000000003,47.32
2472,4437,-16327,15,17,32,46.88,-0.018159375,26.125
2474,23687,-53437,12,11,23,52.17,-0.017595652173913047,22.391304347826086
2476,3573,977,16,10,26,61.54,0.011465384615384612,59.07692307692308
2477,3090,-1800,14,12,26,53.85,-0.0013730769230769213,26.076923076923077
2478,5011,-32011,14,18,32,43.75,-0.024959375000000002,27.5625
2480,3462,3288,13,9,22,59.09,0.009859090909090908,73.0909090909091
2481,3875,11975,19,8,27,70.37,0.04951481481481482,19.77777777777778
2482,2929,10821,18,10,28,64.29,0.032039285714285715,48.32142857142857
2483,2421,949,12,12,24,50.0,0.001829166666666664,47.583333333333336
2484,2770,-4770,15,14,29,51.72,-0.011310344827586206,27.75862068965517
2485,7035,-32335,17,19,36,47.22,-0.01858888888888889,36.80555555555556
2486,3495,-13695,15,15,30,50.0,-0.0027066666666666667,29.333333333333332
2488,4473,-10673,17,17,34,50.0,-0.008185294117647058,58.64705882352941
2489,4463,-13233,20,19,39,51.28,-0.010615384615384615,43.282051282051285
