代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
2426,5170,-18440,27,25,52,51.92,-0.0020423076923076896,27.78846153846154
2427,2801,3519,20,17,37,54.05,0.011535135135135134,59.83783783783784
2428,23451,13299,25,17,42,59.52,0.012592857142857143,44.04761904761905
2429,4946,-22046,19,33,52,36.54,-0.01954423076923077,22.807692307692307
2430,4981,11219,15,14,29,51.72,0.019782758620689653,80.93103448275862
2431,4343,-8523,24,25,49,48.98,0.0007836734693877535,32.04081632653061
2433,4951,2549,10,8,18,55.56,0.007505555555555557,152.66666666666666
2434,4422,10568,23,23,46,50.0,0.06583913043478261,32.80434782608695
2436,11340,1510,29,22,51,56.86,0.017450980392156864,28.235294117647058
2438,3143,9607,25,18,43,58.14,0.03487906976744186,33.95348837209303
2439,34466,-81766,24,22,46,52.17,-0.005732608695652174,34.08695652173913
2440,3133,14407,25,17,42,59.52,0.028576190476190474,39.73809523809524
2441,8527,-1577,17,12,29,58.62,0.012341379310344826,76.72413793103448
2442,2811,14989,26,13,39,66.67,0.04097692307692307,49.05128205128205
2443,2324,-5344,18,22,40,45.0,-0.008569999999999998,37.4
2444,5109,-17459,27,26,53,50.94,-0.006084905660377357,24.30188679245283
2449,7645,30005,27,14,41,65.85,0.026397560975609757,42.4390243902439
2450,5529,-18029,11,9,20,55.0,0.002624999999999998,133.4
2451,11111,-47911,10,13,23,43.48,-0.01786086956521739,110.08695652173913
2453,4135,6215,22,13,35,62.86,0.026508571428571426,45.97142857142857
2454,122145,276355,24,19,43,55.81,0.012527906976744182,37.16279069767442
2455,23795,60055,32,19,51,62.75,0.015388235294117649,24.666666666666668
2457,5564,10346,26,19,45,57.78,0.012284444444444443,28.177777777777777
2458,20367,10033,23,18,41,56.1,0.0171,41.048780487804876
2459,6057,20543,15,10,25,60.0,0.025239999999999995,103.52
2460,4387,16213,29,18,47,61.7,0.02926808510638298,29.27659574468085
2461,4254,-5554,21,20,41,51.22,-0.0024439024390243906,46.24390243902439
2462,6376,28724,26,14,40,65.0,0.035795,46.4
2464,8725,5675,21,17,38,55.26,0.008915789473684214,48.3421052631579
2465,8490,-24120,27,33,60,45.0,0.014421666666666662,22.983333333333334
2466,4433,15767,14,8,22,63.64,0.027100000000000003,117.86363636363636
2467,6849,1851,21,17,38,55.26,0.015128947368421053,50.26315789473684
2468,2474,14166,16,10,26,61.54,0.04397692307692309,93.46153846153847
2471,3601,-3151,16,13,29,55.17,0.008513793103448276,76.82758620689656
2472,10935,18565,23,17,40,57.5,0.0160175,41.0
2474,60259,-91259,21,20,41,51.22,-0.0002463414634146334,46.21951219512195
2476,5121,19979,16,9,25,64.0,0.022952000000000004,92.36
2477,5863,10387,27,18,45,60.0,0.020940000000000007,37.4
2478,10532,21968,24,16,40,60.0,0.038645,42.65
2480,7675,21275,15,8,23,65.22,0.029082608695652178,106.82608695652173
2481,11228,2982,31,19,50,62.0,0.012346,26.86
2482,3657,19653,22,13,35,62.86,0.03134857142857142,47.285714285714285
2483,4198,10402,19,14,33,57.58,0.018142424242424238,69.60606060606061
2484,6075,7425,26,18,44,59.09,0.009918181818181819,36.61363636363637
2485,6460,-13710,22,18,40,55.0,0.002777500000000002,44.725
2486,5008,-1058,26,18,44,59.09,0.015079545454545457,30.681818181818183
